Data,Horário,Equipe 1,Equipe 2,Placar,Categoria
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
,,,,,SUB 13 Masculino
11/05/2025,11:00,S.E. PALMEIRAS,CIRCULO MILITAR S.P.,48 X 59,SUB 13 Masculino
11/05/2025,11:00,INSTITUTO SUPERAÇÃO,BAURU BASKET,29 X 59,SUB 13 Masculino
11/05/2025,11:00,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,DOUBLE VOTORANTIM BASKET,77 X 56,SUB 13 Masculino
11/05/2025,11:00,INTERNACIONAL DE REGATAS,SÃO PAULO F.C.,35 X 59,SUB 13 Masculino
11/05/2025,09:00,A.A. MOGI DAS CRUZES,S.C. CORINTHIANS PTA.,61 X 52,SUB 13 Masculino
10/05/2025,15:00,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,AMAB / GIRAFINHAS / MAUA,71 X 29,SUB 13 Masculino
10/05/2025,11:00,SANTO ANDRE / APABA,E.C. PINHEIROS,51 X 64,SUB 13 Masculino
10/05/2025,11:00,JACAREI BASKETBALL,SÃO BERNARDO BASQUETE,41 X 77,SUB 13 Masculino
10/05/2025,11:00,AABB LIMEIRA,C.A. PAULISTANO,55 X 51,SUB 13 Masculino
04/05/2025,13:00,BAURU BASKET,DOUBLE VOTORANTIM BASKET,56 X 55,SUB 13 Masculino
04/05/2025,11:00,CIRCULO MILITAR S.P.,AMAB / GIRAFINHAS / MAUA,74 X 40,SUB 13 Masculino
04/05/2025,11:00,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,SÃO PAULO F.C.,31 X 77,SUB 13 Masculino
04/05/2025,11:00,A.A. MOGI DAS CRUZES,S.E. PALMEIRAS,109 X 58,SUB 13 Masculino
04/05/2025,11:00,S.C. CORINTHIANS PTA.,C.A. PAULISTANO,82 X 46,SUB 13 Masculino
04/05/2025,09:00,SÃO BERNARDO BASQUETE,INSTITUTO SUPERAÇÃO,73 X 22,SUB 13 Masculino
03/05/2025,13:00,SANTO ANDRE / APABA,AABB LIMEIRA,56 X 68,SUB 13 Masculino
03/05/2025,12:00,CIRCULO MILITAR S.P.,BAURU BASKET,48 X 39,SUB 13 Masculino
03/05/2025,11:00,DOUBLE VOTORANTIM BASKET,E.C. PINHEIROS,60 X 57,SUB 13 Masculino
03/05/2025,11:00,CLUBE ESPERIA,F.R. ALPHAVILLE,45 X 49,SUB 13 Masculino
01/05/2025,13:00,BAURU BASKET,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,38 X 84,SUB 13 Masculino
30/04/2025,18:00,AABB LIMEIRA,BAURU BASKET,54 X 42,SUB 13 Masculino
27/04/2025,11:00,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,CLUBE ESPERIA,81 X 24,SUB 13 Masculino
27/04/2025,11:00,C.A. PAULISTANO,E.C. PINHEIROS,56 X 53,SUB 13 Masculino
27/04/2025,11:00,INTERNACIONAL DE REGATAS,S.E. PALMEIRAS,52 X 41,SUB 13 Masculino
27/04/2025,11:00,DOUBLE VOTORANTIM BASKET,F.R. ALPHAVILLE,65 X 62,SUB 13 Masculino
27/04/2025,11:00,AABB LIMEIRA,JACAREI BASKETBALL,66 X 35,SUB 13 Masculino
26/04/2025,11:00,AMAB / GIRAFINHAS / MAUA,A.A. MOGI DAS CRUZES,36 X 112,SUB 13 Masculino
26/04/2025,11:00,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,S.C. CORINTHIANS PTA.,60 X 59,SUB 13 Masculino
25/04/2025,19:30,INSTITUTO SUPERAÇÃO,F.R. ALPHAVILLE,31 X 97,SUB 13 Masculino
20/04/2025,11:00,S.C. CORINTHIANS PTA.,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,57 X 52,SUB 13 Masculino
20/04/2025,11:00,SÃO BERNARDO BASQUETE,DOUBLE VOTORANTIM BASKET,50 X 55,SUB 13 Masculino
19/04/2025,15:00,CLUBE ESPERIA,A.A. MOGI DAS CRUZES,13 X 118,SUB 13 Masculino
13/04/2025,11:00,C.A. PAULISTANO,AMAB / GIRAFINHAS / MAUA,88 X 29,SUB 13 Masculino
13/04/2025,11:00,CIRCULO MILITAR S.P.,INSTITUTO SUPERAÇÃO,83 X 31,SUB 13 Masculino
13/04/2025,11:00,S.E. PALMEIRAS,JACAREI BASKETBALL,55 X 24,SUB 13 Masculino
13/04/2025,11:00,S.C. CORINTHIANS PTA.,SANTO ANDRE / APABA,81 X 39,SUB 13 Masculino
13/04/2025,11:00,SÃO BERNARDO BASQUETE,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,45 X 50,SUB 13 Masculino
12/04/2025,15:00,CLUBE ESPERIA,INTERNACIONAL DE REGATAS,50 X 61,SUB 13 Masculino
12/04/2025,15:00,E.C. PINHEIROS,F.R. ALPHAVILLE,78 X 49,SUB 13 Masculino
12/04/2025,14:00,INSTITUTO SUPERAÇÃO,SÃO PAULO F.C.,17 X 128,SUB 13 Masculino
12/04/2025,13:00,S.C. CORINTHIANS PTA.,AABB LIMEIRA,58 X 38,SUB 13 Masculino
12/04/2025,11:00,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,A.A. MOGI DAS CRUZES,54 X 58,SUB 13 Masculino
06/04/2025,11:00,S.C. CORINTHIANS PTA.,S.E. PALMEIRAS,68 X 42,SUB 13 Masculino
